state,action,q_value,last_action
"pub_('A', 'A', 'Q')_priv_('K',)_-2.5_7_4",draw_deck_3,1.01,"g_3_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('2', '2', 'J')_priv_('6',)_1.5_3_4",take_discard_3,1.01,"g_4_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('2', '4', 'J')_priv_('7',)_6.5_2_4",take_discard_2,1.01,"g_5_r_4: {'type': 'take_discard', 'position': 2}"
"pub_('2', '8', 'Q')_priv_('Q',)_-14.0_4_4",draw_deck_flip_3,1.01,"g_6_r_4: {'type': 'draw_deck', 'keep': False, 'flip_position': 3}"
"pub_('6', '6', '7')_priv_('4',)_-7.5_Q_4",draw_deck_3,1.01,"g_8_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('10', 'Q', 'Q')_priv_('3',)_-3.5_5_4",draw_deck_3,1.01,"g_9_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('2', '3', 'K')_priv_('A',)_-9.5_9_4",draw_deck_2,1.01,"g_10_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('A', 'J', 'J')_priv_('K',)_-3.0_9_4",draw_deck_2,1.01,"g_11_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('3', '3', 'J')_priv_('10',)_-4.5_10_4",draw_deck_3,1.01,"g_13_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('7', '7', 'A')_priv_('10',)_3.5_2_4",take_discard_3,1.01,"g_15_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('7', '7', 'J')_priv_('K',)_2.5_3_4",take_discard_2,1.01,"g_17_r_4: {'type': 'take_discard', 'position': 2}"
"pub_('3', '3', '6')_priv_('8',)_-5.0_K_4",draw_deck_3,1.01,"g_19_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('10', '2', '5')_priv_('K',)_5.0_2_4",take_discard_3,1.01,"g_20_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('6', '7', 'J')_priv_('A',)_-10.0_Q_4",draw_deck_3,1.01,"g_21_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('2', '7', 'J')_priv_('10',)_-0.5_5_4",draw_deck_3,1.01,"g_22_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('5', 'J', 'J')_priv_('K',)_-4.5_K_4",draw_deck_3,1.01,"g_23_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('4', '8', '8')_priv_('6',)_-5.0_9_4",draw_deck_3,1.01,"g_25_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('5', '8', 'A')_priv_('10',)_-6.0_K_4",draw_deck_3,1.01,"g_26_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('A', 'J', 'J')_priv_('3',)_0.5_2_4",take_discard_2,1.01,"g_27_r_4: {'type': 'take_discard', 'position': 2}"
"pub_('8', 'J', 'Q')_priv_('Q',)_-15.0_5_4",draw_deck_flip_3,1.01,"g_28_r_4: {'type': 'draw_deck', 'keep': False, 'flip_position': 3}"
"pub_('8', 'A', 'J')_priv_('7',)_4.0_J_4",take_discard_3,1.01,"g_29_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('8', 'Q', 'Q')_priv_('2',)_-3.0_4_4",draw_deck_3,1.01,"g_31_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('4', 'J', 'J')_priv_('K',)_2.5_3_4",take_discard_3,1.01,"g_32_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('2', '3', '4')_priv_('10',)_-2.5_7_4",draw_deck_3,1.01,"g_34_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('3', '8', '8')_priv_('5',)_-4.5_8_4",draw_deck_3,1.01,"g_36_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('2', '7', 'J')_priv_('9',)_11.5_7_4",take_discard_3,1.01,"g_37_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('A', 'K', 'K')_priv_('Q',)_2.5_3_4",take_discard_3,1.01,"g_38_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('3', '4', 'J')_priv_('Q',)_4.0_A_4",take_discard_3,1.01,"g_39_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('4', 'A', 'A')_priv_('3',)_0.0_2_4",take_discard_3,1.01,"g_40_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('2', '4', 'K')_priv_('5',)_-8.0_10_4",draw_deck_3,1.01,"g_41_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('3', '4', 'J')_priv_('2',)_5.5_4_4",take_discard_3,1.01,"g_44_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('A', 'J', 'J')_priv_('A',)_-11.0_Q_4",draw_deck_flip_2,1.01,"g_45_r_4: {'type': 'draw_deck', 'keep': False, 'flip_position': 2}"
"pub_('5', 'J', 'J')_priv_('3',)_-6.0_8_4",draw_deck_3,1.01,"g_46_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('4', '4', '8')_priv_('5',)_-1.0_4_4",draw_deck_2,1.01,"g_48_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('10', 'J', 'Q')_priv_('3',)_-3.0_4_4",draw_deck_3,1.01,"g_49_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('5', '7', 'J')_priv_('9',)_-6.5_10_4",draw_deck_3,1.01,"g_50_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('8', 'J', 'J')_priv_('A',)_-1.5_2_4",draw_deck_3,1.01,"g_51_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('2', '5', '9')_priv_('8',)_3.5_J_4",take_discard_3,1.01,"g_52_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('J', 'J', 'J')_priv_('7',)_3.5_2_4",take_discard_2,1.01,"g_53_r_4: {'type': 'take_discard', 'position': 2}"
"pub_('K', 'K', 'Q')_priv_('5',)_1.0_2_4",take_discard_3,1.01,"g_54_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('2', 'J', 'Q')_priv_('9',)_-1.0_5_4",draw_deck_3,1.01,"g_55_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('9', 'J', 'K')_priv_('4',)_-5.5_7_4",draw_deck_3,1.01,"g_56_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('2', '4', 'A')_priv_('5',)_-7.0_Q_4",draw_deck_3,1.01,"g_57_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('10', '3', 'J')_priv_('5',)_-3.5_6_4",draw_deck_2,1.01,"g_58_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('2', '6', '6')_priv_('7',)_-1.5_6_4",draw_deck_3,1.01,"g_59_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('6', 'J', 'J')_priv_('2',)_-8.5_10_4",draw_deck_3,1.01,"g_60_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('5', 'J', 'J')_priv_('8',)_-1.5_6_4",draw_deck_3,1.01,"g_61_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('8', 'J', 'J')_priv_('A',)_-9.5_10_4",draw_deck_2,1.01,"g_63_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('A', 'A', 'J')_priv_('8',)_-2.5_8_4",draw_deck_2,1.01,"g_64_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('9', 'J', 'Q')_priv_('Q',)_-17.0_7_4",draw_deck_flip_3,1.01,"g_65_r_4: {'type': 'draw_deck', 'keep': False, 'flip_position': 3}"
"pub_('5', '8', '8')_priv_('7',)_0.0_4_4",draw_deck_2,1.01,"g_66_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('3', 'A', 'J')_priv_('2',)_-7.5_9_4",draw_deck_3,1.01,"g_68_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('6', '6', 'J')_priv_('K',)_-2.5_8_4",draw_deck_3,1.01,"g_69_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('5', '8', 'K')_priv_('3',)_-8.5_9_4",draw_deck_3,1.01,"g_70_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('7', 'A', 'Q')_priv_('6',)_-8.0_K_4",draw_deck_2,1.01,"g_72_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('2', '5', 'J')_priv_('Q',)_-5.0_Q_4",draw_deck_3,1.01,"g_74_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('2', '4', 'J')_priv_('9',)_-4.0_9_4",draw_deck_3,1.01,"g_75_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('2', '8', '8')_priv_('3',)_-7.5_K_4",draw_deck_2,1.01,"g_76_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('3', 'A', 'J')_priv_('5',)_-2.5_6_4",draw_deck_2,1.01,"g_77_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('2', 'Q', 'Q')_priv_('8',)_7.0_2_4",take_discard_2,1.01,"g_78_r_4: {'type': 'take_discard', 'position': 2}"
"pub_('A', 'Q', 'Q')_priv_('3',)_-2.5_5_4",draw_deck_3,1.01,"g_80_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('10', '2', 'A')_priv_('2',)_-8.5_6_4",draw_deck_3,1.01,"g_81_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('J', 'Q', 'Q')_priv_('7',)_3.0_2_4",take_discard_3,1.01,"g_82_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('4', '4', 'A')_priv_('3',)_-3.5_6_4",draw_deck_3,1.01,"g_83_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('2', '6', 'J')_priv_('9',)_0.5_4_4",take_discard_3,1.01,"g_84_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('4', '4', '5')_priv_('2',)_-9.0_Q_4",draw_deck_3,1.01,"g_85_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('2', '7', '8')_priv_('9',)_3.0_J_4",take_discard_3,1.01,"g_86_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('5', '5', 'J')_priv_('A',)_1.0_J_4",take_discard_2,1.01,"g_87_r_4: {'type': 'take_discard', 'position': 2}"
"pub_('J', 'J', 'J')_priv_('A',)_-8.0_9_4",draw_deck_3,1.01,"g_89_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('10', '4', 'J')_priv_('A',)_-9.5_K_4",draw_deck_3,1.01,"g_90_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('8', 'A', 'K')_priv_('7',)_3.5_A_4",take_discard_3,1.01,"g_92_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('2', '3', 'A')_priv_('6',)_-6.5_Q_4",draw_deck_3,1.01,"g_93_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('4', 'Q', 'Q')_priv_('4',)_-6.0_2_4",draw_deck_flip_3,1.01,"g_94_r_4: {'type': 'draw_deck', 'keep': False, 'flip_position': 3}"
"pub_('10', '10', '5')_priv_('4',)_-3.5_6_4",draw_deck_3,1.01,"g_96_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('10', '6', '6')_priv_('10',)_-16.0_6_4",draw_deck_flip_3,1.01,"g_97_r_4: {'type': 'draw_deck', 'keep': False, 'flip_position': 3}"
"pub_('4', 'Q', 'Q')_priv_('A',)_-1.5_2_4",draw_deck_3,1.01,"g_98_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('2', '2', 'J')_priv_()_4.0_2_4",take_discard_1,1.01,"g_99_r_4: {'type': 'take_discard', 'position': 1}"
"pub_('7', 'J', 'J')_priv_('7',)_-8.0_A_4",draw_deck_flip_3,1.01,"g_100_r_4: {'type': 'draw_deck', 'keep': False, 'flip_position': 3}"
"pub_('10', '6', 'J')_priv_('K',)_2.5_A_4",take_discard_3,1.01,"g_102_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('8', 'J', 'J')_priv_('6',)_-6.0_10_4",draw_deck_2,1.01,"g_104_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('A', 'J', 'J')_priv_('4',)_-3.0_6_4",draw_deck_3,1.01,"g_105_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('10', 'J', 'K')_priv_('3',)_-8.0_9_4",draw_deck_3,1.01,"g_106_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
