state,action,q_value
"pub_()_priv_('9', 'K')_-9.0_4_1",10,0.009999999776482582
"pub_('2',)_priv_('9',)_-16.0_10_2",1,0.009999999776482582
"pub_('2', '9')_priv_('9',)_-4.0_4_3",7,0.009999999776482582
"pub_('2', '9', '9')_priv_('9',)_-1.0_6_4",3,-0.1899999976158142
"pub_()_priv_('10', 'K')_-7.0_A_1",10,0.01899999938905239
"pub_('7',)_priv_('10',)_-1.0_3_2",3,0.009999999776482582
"pub_('10', '7')_priv_()_-3.0_2_3",7,0.009999999776482582
"pub_('10', '7', 'A')_priv_()_-11.0_Q_4",5,-0.49000000953674316
"pub_()_priv_('5', '7')_6.0_7_1",1,0.009999999776482582
"pub_('7',)_priv_('5', '7')_-8.0_10_2",5,0.009999999776482582
"pub_('2', '7')_priv_('5', '7')_-1.5_7_3",10,0.009999999776482582
"pub_('2', '7', 'A')_priv_('7',)_-16.0_9_4",5,1.0099999904632568
"pub_()_priv_('4', 'K')_1.0_3_1",9,0.009999999776482582
"pub_('3',)_priv_('4',)_-4.0_7_2",7,0.009999999776482582
"pub_('3', 'K')_priv_('4',)_-8.0_10_3",5,0.009999999776482582
"pub_('3', 'A', 'K')_priv_('4',)_-2.0_4_4",10,-0.49000000953674316
"pub_()_priv_('6', 'A')_-2.0_4_1",7,0.009999999776482582
"pub_('Q',)_priv_('6', 'A')_-8.0_9_2",3,0.009999999776482582
"pub_('3', 'Q')_priv_('A',)_-11.5_8_3",5,0.009999999776482582
"pub_('3', 'Q', 'Q')_priv_('A',)_-9.5_10_4",10,0.009999999776482582
"pub_()_priv_('J', 'Q')_-2.0_6_1",7,0.009999999776482582
"pub_('2',)_priv_('J', 'Q')_-4.5_9_2",5,0.009999999776482582
"pub_('2', 'J')_priv_('J', 'Q')_-3.0_8_3",3,0.009999999776482582
"pub_('2', '4', 'J')_priv_('J',)_-6.5_6_4",10,1.0099999904632568
"pub_()_priv_('8', '9')_3.0_J_1",3,0.009999999776482582
"pub_('J',)_priv_('8',)_-6.5_K_2",7,0.01899999938905239
"pub_('10', 'J')_priv_('8',)_-10.0_2_3",3,0.009999999776482582
"pub_('10', '4', 'J')_priv_()_-20.0_Q_4",1,0.20999999344348907
"pub_()_priv_('9', 'Q')_-5.0_7_1",3,0.009999999776482582
"pub_()_priv_('9', 'Q')_-5.0_7_1",5,0.009999999776482582
"pub_('9',)_priv_('9',)_-5.5_9_2",1,0.009999999776482582
"pub_('9', 'J')_priv_('9',)_-1.5_6_3",7,0.009999999776482582
"pub_('5', '9', 'J')_priv_('9',)_0.0_9_4",3,1.0099999904632568
"pub_()_priv_('2', 'K')_0.0_4_1",9,0.009999999776482582
"pub_('4',)_priv_('2',)_-5.0_A_2",8,0.009999999776482582
"pub_('4', '4')_priv_('2',)_4.5_J_3",4,0.009999999776482582
"pub_('4', '4', 'J')_priv_('2',)_1.0_A_4",3,1.0099999904632568
"pub_()_priv_('2', '8')_-5.0_6_1",7,0.009999999776482582
"pub_('6',)_priv_('2', '8')_-3.5_4_2",3,0.009999999776482582
"pub_('10', '6')_priv_('2',)_-11.0_Q_3",5,0.009999999776482582
"pub_('10', '10', '6')_priv_('2',)_-7.5_9_4",10,-0.1899999976158142
