state,action,q_value
"pub_('8',)_priv_('8', 'A')_-6.0_10_2",draw_deck_0,0.010000000000000002
"pub_('8',)_priv_('8', 'A')_-6.0_10_2",draw_deck_1,0.027100000000000006
"pub_('8',)_priv_('8', 'A')_-6.0_10_2",take_discard_1,0.0
"pub_('8',)_priv_('8', 'A')_-6.0_10_2",take_discard_2,0.0
"pub_('8',)_priv_('8', 'A')_-6.0_10_2",take_discard_3,0.0
"pub_('8',)_priv_('8', 'A')_-6.0_10_2",draw_deck_2,0.0
"pub_('8',)_priv_('8', 'A')_-6.0_10_2",draw_deck_3,0.0
"pub_('8',)_priv_('8', 'A')_-6.0_10_2",draw_deck_flip_1,0.0
"pub_('8',)_priv_('8', 'A')_-6.0_10_2",draw_deck_flip_2,0.0
"pub_('8',)_priv_('8', 'A')_-6.0_10_2",draw_deck_flip_3,0.0
"pub_()_priv_('8', 'A')_-10.0_4_1",draw_deck_flip_1,0.019000000000000003
"pub_('7', '8')_priv_('8', 'A')_0.5_J_3",take_discard_3,0.010000000000000002
"pub_('7', '8', 'J')_priv_('8',)_-17.0_9_4",draw_deck_flip_2,0.010000000000000002
"pub_('9',)_priv_('6',)_-10.0_10_2",draw_deck_2,0.010000000000000002
"pub_()_priv_('6', '8')_-8.5_10_1",draw_deck_3,0.019000000000000003
"pub_()_priv_('6', '8')_-8.5_10_1",take_discard_0,0.0
"pub_()_priv_('6', '8')_-8.5_10_1",take_discard_1,0.0
"pub_()_priv_('6', '8')_-8.5_10_1",take_discard_2,0.0
"pub_()_priv_('6', '8')_-8.5_10_1",take_discard_3,0.0
"pub_()_priv_('6', '8')_-8.5_10_1",draw_deck_0,0.0
"pub_()_priv_('6', '8')_-8.5_10_1",draw_deck_1,0.0
"pub_()_priv_('6', '8')_-8.5_10_1",draw_deck_2,0.0
"pub_()_priv_('6', '8')_-8.5_10_1",draw_deck_flip_0,0.010000000000000002
"pub_()_priv_('6', '8')_-8.5_10_1",draw_deck_flip_1,0.0
"pub_()_priv_('6', '8')_-8.5_10_1",draw_deck_flip_2,0.0
"pub_()_priv_('6', '8')_-8.5_10_1",draw_deck_flip_3,0.0
"pub_('10', '9')_priv_()_-10.0_K_3",draw_deck_0,0.010000000000000002
"pub_('10', '9', 'A')_priv_()_0.0_2_4",draw_deck_1,-0.49000000000000005
"pub_('2',)_priv_('J',)_-9.5_K_2",draw_deck_0,0.010000000000000002
"pub_()_priv_('9', 'J')_1.0_2_1",take_discard_3,0.010000000000000002
"pub_('2', '3')_priv_('J',)_-4.0_8_3",draw_deck_1,0.010000000000000002
"pub_('2', '3', '3')_priv_('J',)_0.0_J_4",draw_deck_2,-0.19
"pub_('3',)_priv_('Q',)_-6.0_K_2",draw_deck_0,0.010000000000000002
"pub_()_priv_('10', 'Q')_0.0_3_1",take_discard_2,0.034390000000000004
"pub_()_priv_('10', 'Q')_0.0_3_1",draw_deck_2,0.010000000000000002
"pub_('2', '3')_priv_('Q',)_-1.0_5_3",draw_deck_1,0.010000000000000002
"pub_('2', '3', 'A')_priv_('Q',)_4.5_J_4",take_discard_3,0.010000000000000002
"pub_('J',)_priv_('6',)_0.0_3_2",take_discard_2,0.010000000000000002
"pub_()_priv_('6', '7')_3.0_J_1",take_discard_3,0.010000000000000002
"pub_('3', 'J')_priv_()_3.5_J_3",take_discard_0,0.010000000000000002
"pub_('3', 'J', 'J')_priv_()_-0.5_4_4",draw_deck_1,1.01
"pub_('K',)_priv_('8',)_7.5_8_2",take_discard_0,0.010000000000000002
"pub_()_priv_('8', '9')_-13.0_7_1",draw_deck_2,0.010000000000000002
"pub_('8', 'K')_priv_('8',)_-4.0_7_3",draw_deck_1,0.010000000000000002
"pub_('8', 'J', 'K')_priv_('8',)_-18.0_Q_4",draw_deck_3,-0.49000000000000005
"pub_('9',)_priv_('8',)_13.0_9_2",take_discard_3,0.010000000000000002
"pub_()_priv_('8', 'K')_-15.0_9_1",draw_deck_2,0.019000000000000003
"pub_()_priv_('8', 'K')_-15.0_9_1",draw_deck_3,0.010000000000000002
"pub_()_priv_('8', 'K')_-15.0_9_1",take_discard_0,0.0
"pub_()_priv_('8', 'K')_-15.0_9_1",take_discard_1,0.0
"pub_()_priv_('8', 'K')_-15.0_9_1",take_discard_2,0.0
"pub_()_priv_('8', 'K')_-15.0_9_1",take_discard_3,0.0
