state_key,action_key,action,game,round
"pub_()_priv_('3', 'A')_-8.0_9_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",1,1
"pub_('9',)_priv_('3', 'A')_-2.5_3_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",1,2
"pub_('3', '9')_priv_('3', 'A')_5.5_9_3",take_discard_3,"{'type': 'take_discard', 'position': 3}",1,3
"pub_('3', '9', '9')_priv_('A',)_3.5_3_4",take_discard_2,"{'type': 'take_discard', 'position': 2}",1,4
"pub_()_priv_('8', 'J')_-8.0_8_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",2,1
"pub_('8',)_priv_('8', 'J')_-18.0_Q_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",2,2
"pub_('8', 'Q')_priv_('8', 'J')_-15.0_7_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",2,3
"pub_('7', '8', 'Q')_priv_('8',)_-17.0_9_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",2,4
"pub_()_priv_('5', 'A')_0.0_A_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",3,1
"pub_('A',)_priv_('5', 'A')_-4.0_3_2",draw_deck_flip_2,"{'type': 'draw_deck', 'keep': False, 'flip_position': 2}",3,2
"pub_('5', 'A')_priv_('A',)_-4.0_3_3",take_discard_1,"{'type': 'take_discard', 'position': 1}",3,3
"pub_('3', '5', 'A')_priv_('A',)_-11.0_K_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",3,4
"pub_()_priv_('10', '8')_2.0_A_1",take_discard_3,"{'type': 'take_discard', 'position': 3}",4,1
"pub_('A',)_priv_('10',)_-7.0_K_2",take_discard_0,"{'type': 'take_discard', 'position': 0}",4,2
"pub_('A', 'K')_priv_('10',)_-4.0_6_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",4,3
"pub_('6', 'A', 'K')_priv_()_2.5_A_4",draw_deck_1,"{'type': 'draw_deck', 'position': 1, 'keep': True}",4,4
"pub_()_priv_('2', '9')_-9.0_K_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",5,1
"pub_('K',)_priv_('2', '9')_-3.0_4_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",5,2
"pub_('4', 'K')_priv_('2', '9')_-4.5_5_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",5,3
"pub_('4', '5', 'K')_priv_('9',)_13.5_K_4",draw_deck_flip_3,"{'type': 'draw_deck', 'keep': False, 'flip_position': 3}",5,4
"pub_()_priv_('6', 'Q')_-0.5_5_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",6,1
"pub_('5',)_priv_('6', 'Q')_-6.5_Q_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",6,2
"pub_('5', 'Q')_priv_('6', 'Q')_-16.0_6_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",6,3
"pub_('5', '6', 'Q')_priv_('Q',)_-12.0_2_4",draw_deck_3,"{'type': 'draw_deck', 'position': 3, 'keep': True}",6,4
"pub_()_priv_('7', '7')_-3.0_4_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",7,1
"pub_('4',)_priv_('7', '7')_-7.5_9_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",7,2
"pub_('4', '9')_priv_('7', '7')_0.0_3_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",7,3
"pub_('3', '4', '9')_priv_('7',)_-7.5_K_4",draw_deck_flip_3,"{'type': 'draw_deck', 'keep': False, 'flip_position': 3}",7,4
"pub_()_priv_('8', 'J')_-3.0_3_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",8,1
"pub_('3',)_priv_('8', 'J')_-1.0_A_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",8,2
"pub_('3', 'A')_priv_('8', 'J')_-10.5_10_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",8,3
"pub_('10', '3', 'A')_priv_('J',)_-8.0_7_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",8,4
"pub_()_priv_('4', 'A')_-10.0_10_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",9,1
"pub_('10',)_priv_('4', 'A')_-9.5_9_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",9,2
"pub_('10', '9')_priv_('4', 'A')_10.0_10_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",9,3
"pub_('10', '10', '9')_priv_('A',)_-8.0_8_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",9,4
"pub_()_priv_('8', '9')_-7.0_9_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",10,1
"pub_('9',)_priv_('8', '9')_-17.0_8_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",10,2
"pub_('8', '9')_priv_('8', '9')_-13.0_4_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",10,3
