state,action,q_value
()_4_10_1,take_discard_0,0.034390000000000004
()_4_10_1,take_discard_1,0.0
()_4_10_1,take_discard_2,0.0
()_4_10_1,take_discard_3,0.0
()_4_10_1,draw_deck_0,0.0
()_4_10_1,draw_deck_1,0.0
()_4_10_1,draw_deck_2,0.0
()_4_10_1,draw_deck_3,0.0
"('10',)_3_3_2",take_discard_1,0.010000000000000002
"('10',)_3_3_2",take_discard_2,0.0
"('10',)_3_3_2",take_discard_3,0.0
"('10',)_3_3_2",draw_deck_1,0.0
"('10',)_3_3_2",draw_deck_2,0.0
"('10',)_3_3_2",draw_deck_3,0.0
"('10', '3')_2_10_3",take_discard_2,0.010000000000000002
"('10', '3')_2_10_3",take_discard_3,0.0
"('10', '3')_2_10_3",draw_deck_2,0.0
"('10', '3')_2_10_3",draw_deck_3,0.0
"('10', '10', '3')_1_A_4",take_discard_3,1.01
()_4_6_1,take_discard_0,0.019000000000000003
()_4_6_1,take_discard_1,0.0
()_4_6_1,take_discard_2,0.0
()_4_6_1,take_discard_3,0.0
()_4_6_1,draw_deck_0,0.0
()_4_6_1,draw_deck_1,0.0
()_4_6_1,draw_deck_2,0.0
()_4_6_1,draw_deck_3,0.0
"('6',)_3_A_2",take_discard_1,0.010000000000000002
"('6',)_3_A_2",take_discard_2,0.0
"('6',)_3_A_2",take_discard_3,0.0
"('6',)_3_A_2",draw_deck_1,0.0
"('6',)_3_A_2",draw_deck_2,0.0
"('6',)_3_A_2",draw_deck_3,0.0
"('6',)_3_A_2",take_discard_0,0.010000000000000002
"('6',)_3_A_2",draw_deck_0,0.0
"('3', '6', 'A')_1_9_4",take_discard_2,-0.49000000000000005
"('3', '6', 'A')_1_9_4",draw_deck_2,0.0
"('6', 'A')_2_3_3",draw_deck_3,0.010000000000000002
()_4_3_1,take_discard_0,0.019000000000000003
()_4_3_1,take_discard_1,0.0
()_4_3_1,take_discard_2,0.0
()_4_3_1,take_discard_3,0.0
()_4_3_1,draw_deck_0,0.0
()_4_3_1,draw_deck_1,0.0
()_4_3_1,draw_deck_2,0.0
()_4_3_1,draw_deck_3,0.0
"('3',)_3_4_2",take_discard_1,0.010000000000000002
"('3',)_3_4_2",take_discard_2,0.0
"('3',)_3_4_2",take_discard_3,0.0
"('3',)_3_4_2",draw_deck_1,0.0
"('3',)_3_4_2",draw_deck_2,0.0
"('3',)_3_4_2",draw_deck_3,0.0
"('3', '4')_2_6_3",take_discard_2,0.010000000000000002
"('3', '4')_2_6_3",take_discard_3,0.0
"('3', '4')_2_6_3",draw_deck_2,0.0
"('3', '4')_2_6_3",draw_deck_3,0.0
"('3', '4', '6')_1_9_4",take_discard_3,-0.49000000000000005
"('3', '4', '6')_1_9_4",draw_deck_3,0.0
()_4_Q_1,take_discard_0,0.027100000000000006
()_4_Q_1,take_discard_1,0.0
()_4_Q_1,take_discard_2,0.0
()_4_Q_1,take_discard_3,0.0
()_4_Q_1,draw_deck_0,0.0
()_4_Q_1,draw_deck_1,0.0
()_4_Q_1,draw_deck_2,0.010000000000000002
()_4_Q_1,draw_deck_3,0.0
"('Q',)_3_3_2",take_discard_1,0.010000000000000002
"('Q',)_3_3_2",take_discard_2,0.0
"('Q',)_3_3_2",take_discard_3,0.0
"('Q',)_3_3_2",draw_deck_1,0.0
"('Q',)_3_3_2",draw_deck_2,0.0
"('Q',)_3_3_2",draw_deck_3,0.0
"('3', 'Q')_2_2_3",take_discard_2,0.010000000000000002
"('3', 'Q')_2_2_3",take_discard_3,0.0
"('3', 'Q')_2_2_3",draw_deck_2,0.0
"('3', 'Q')_2_2_3",draw_deck_3,0.0
"('2', '3', 'Q')_1_10_4",take_discard_3,-0.49000000000000005
"('2', '3', 'Q')_1_10_4",draw_deck_3,0.0
()_4_4_1,take_discard_0,0.019000000000000003
()_4_4_1,take_discard_1,0.010000000000000002
()_4_4_1,take_discard_2,0.0
()_4_4_1,take_discard_3,0.0
()_4_4_1,draw_deck_0,0.0
()_4_4_1,draw_deck_1,0.0
()_4_4_1,draw_deck_2,0.0
()_4_4_1,draw_deck_3,0.0
"('4',)_3_8_2",take_discard_1,0.010000000000000002
"('4',)_3_8_2",take_discard_2,0.0
"('4',)_3_8_2",take_discard_3,0.0
"('4',)_3_8_2",draw_deck_1,0.0
"('4',)_3_8_2",draw_deck_2,0.0
"('4',)_3_8_2",draw_deck_3,0.0
"('4', '8')_2_8_3",take_discard_2,0.010000000000000002
"('4', '8')_2_8_3",take_discard_3,0.0
"('4', '8')_2_8_3",draw_deck_2,0.0
"('4', '8')_2_8_3",draw_deck_3,0.0
"('4', '8', '8')_1_2_4",take_discard_3,1.01
"('4', '8', '8')_1_2_4",draw_deck_3,0.0
"('A',)_3_Q_2",take_discard_0,0.010000000000000002
"('A',)_3_Q_2",take_discard_2,0.0
"('A',)_3_Q_2",take_discard_3,0.0
"('A',)_3_Q_2",draw_deck_0,0.0
"('A',)_3_Q_2",draw_deck_2,0.0
"('A',)_3_Q_2",draw_deck_3,0.0
()_4_A_1,take_discard_1,0.019000000000000003
()_4_A_1,take_discard_0,0.0
()_4_A_1,take_discard_2,0.0
()_4_A_1,take_discard_3,0.0
()_4_A_1,draw_deck_0,0.0
()_4_A_1,draw_deck_1,0.0
()_4_A_1,draw_deck_2,0.0
()_4_A_1,draw_deck_3,0.0
"('A', 'Q')_2_8_3",take_discard_3,0.010000000000000002
"('8', 'A', 'Q')_1_6_4",take_discard_2,-0.49000000000000005
"('Q',)_3_4_2",take_discard_1,0.010000000000000002
"('Q',)_3_4_2",take_discard_2,0.0
"('Q',)_3_4_2",take_discard_3,0.0
"('Q',)_3_4_2",draw_deck_1,0.0
"('Q',)_3_4_2",draw_deck_2,0.0
"('Q',)_3_4_2",draw_deck_3,0.0
"('4', 'Q')_2_J_3",take_discard_2,0.010000000000000002
"('4', 'Q')_2_J_3",take_discard_3,0.0
"('4', 'Q')_2_J_3",draw_deck_2,0.0
"('4', 'Q')_2_J_3",draw_deck_3,0.0
"('4', 'J', 'Q')_1_8_4",take_discard_3,-0.49000000000000005
"('4', 'J', 'Q')_1_8_4",draw_deck_3,0.0
()_4_7_1,take_discard_0,0.010000000000000002
()_4_7_1,take_discard_1,0.0
()_4_7_1,take_discard_2,0.0
()_4_7_1,take_discard_3,0.0
()_4_7_1,draw_deck_0,0.0
()_4_7_1,draw_deck_1,0.0
()_4_7_1,draw_deck_2,0.0
()_4_7_1,draw_deck_3,0.0
"('7',)_3_3_2",take_discard_1,0.010000000000000002
"('7',)_3_3_2",take_discard_2,0.0
