state,action,q_value,last_action,debug
"('7', '8', 'A', 'Q')_-6.5_10_4",draw_deck_flip_3,1.01,"g_7_r_4: Q-learning agent drew from deck, discarded it, and flipped position 4",{}
"('3', '6', '8', 'Q')_2.5_J_4",draw_deck_3,1.01,g_12_r_4: Q-learning agent drew from deck and kept at position 4,{}
"('4', '7', '7', 'Q')_-2.5_5_4",take_discard_3,1.01,g_13_r_4: Q-learning agent took from discard and placed at position 4,{}
"('10', '7', '7', 'A')_0.5_5_4",take_discard_3,1.01,g_15_r_4: Q-learning agent took from discard and placed at position 4,{}
"('10', '2', '3', '7')_-9.0_9_4",take_discard_3,1.01,g_18_r_4: Q-learning agent took from discard and placed at position 4,{}
"('3', '4', '5', '6')_4.5_3_4",draw_deck_3,1.01,g_20_r_4: Q-learning agent drew from deck and kept at position 4,{}
"('10', '10', '3', '4')_-7.0_10_4",take_discard_3,1.01,g_21_r_4: Q-learning agent took from discard and placed at position 4,{}
"('5', 'A', 'K', 'Q')_9.5_Q_4",take_discard_3,1.01,g_22_r_4: Q-learning agent took from discard and placed at position 4,{}
"('4', '8', 'K', 'K')_-11.0_A_4",draw_deck_flip_3,1.01,"g_24_r_4: Q-learning agent drew from deck, discarded it, and flipped position 4",{}
"('4', 'A', 'J', 'J')_-2.5_2_4",take_discard_2,1.01,g_26_r_4: Q-learning agent took from discard and placed at position 3,{}
"('4', '9', '9', 'J')_-6.0_9_4",draw_deck_flip_3,1.01,"g_30_r_4: Q-learning agent drew from deck, discarded it, and flipped position 4",{}
"('10', '10', '2', '8')_0.0_A_4",take_discard_3,1.01,g_31_r_4: Q-learning agent took from discard and placed at position 4,{}
"('J', 'Q', 'Q')_-4.5_10_4",take_discard_1,1.01,g_32_r_4: Q-learning agent took from discard and placed at position 2,{}
"('4', '7', '8', 'J')_1.5_2_4",take_discard_3,1.01,g_33_r_4: Q-learning agent took from discard and placed at position 4,{}
"('5', '6', '7', 'J')_8.5_5_4",take_discard_3,1.01,g_34_r_4: Q-learning agent took from discard and placed at position 4,{}
"('10', '7', '9', 'K')_1.5_J_4",take_discard_2,1.01,g_36_r_4: Q-learning agent took from discard and placed at position 3,{}
"('3', '4', '7', 'A')_-10.0_Q_4",draw_deck_3,1.01,g_38_r_4: Q-learning agent drew from deck and kept at position 4,{}
"('2', '3', '5', '8')_1.0_J_4",take_discard_3,1.01,g_39_r_4: Q-learning agent took from discard and placed at position 4,{}
"('10', '2', '5', 'J')_-0.5_3_4",take_discard_2,1.01,g_40_r_4: Q-learning agent took from discard and placed at position 3,{}
"('2', '4', '5', '9')_4.5_J_4",take_discard_3,1.01,g_43_r_4: Q-learning agent took from discard and placed at position 4,{}
"('3', '5', 'A', 'Q')_6.0_5_4",take_discard_3,1.01,g_46_r_4: Q-learning agent took from discard and placed at position 4,{}
