Running locally - Google Drive not available
======================================================================
PARALLEL CPU Q-LEARNING TRAINING
======================================================================
Workers: 1 (cpu_count=8)
Chunk size: 16
Games: 2000000 | opponent=ev_ai
Bootstrap: 1500000 | epsilon=0.2
n-step: 3 | replay_per_game: 4 (cap=2000) | visit beta=0.5
Q sharing: in-process (workers=1; no snapshot I/O)
Trajectories: append CSV
Human demos: 464 weighted steps / 43 holes (260 exact keys, source=supabase)
Loaded Q-table from C:\Users\kbwil\Documents\Data_Projects\golf\Golf_solver\backend\RL\output\qtable_train.csv
Trajectory resume index: last_game_num=249647
  Game 64: BOOTSTRAP | Win rate=57.81%, Avg score=12.38, States=135297, Coverage=11.43% sparse=0.89, Epsilon=0.200, 94.2 games/s | replay=64
  Game 112: BOOTSTRAP | Win rate=52.68%, Avg score=13.25, States=135312, Coverage=11.44% sparse=0.89, Epsilon=0.200, 87.7 games/s | replay=112
  Game 160: BOOTSTRAP | Win rate=51.88%, Avg score=13.15, States=135328, Coverage=11.44% sparse=0.89, Epsilon=0.200, 87.5 games/s | replay=160
  Game 208: BOOTSTRAP | Win rate=53.85%, Avg score=12.71, States=135349, Coverage=11.45% sparse=0.89, Epsilon=0.200, 86.5 games/s | replay=208
  Game 256: BOOTSTRAP | Win rate=51.56%, Avg score=12.73, States=135370, Coverage=11.45% sparse=0.89, Epsilon=0.200, 84.6 games/s | replay=256
  Game 304: BOOTSTRAP | Win rate=49.67%, Avg score=12.73, States=135390, Coverage=11.45% sparse=0.89, Epsilon=0.200, 82.9 games/s | replay=304
  Game 352: BOOTSTRAP | Win rate=47.73%, Avg score=12.86, States=135402, Coverage=11.45% sparse=0.89, Epsilon=0.200, 81.2 games/s | replay=352
  Game 400: BOOTSTRAP | Win rate=46.50%, Avg score=12.95, States=135427, Coverage=11.46% sparse=0.89, Epsilon=0.200, 79.4 games/s | replay=400
  Game 464: BOOTSTRAP | Win rate=46.12%, Avg score=12.82, States=135444, Coverage=11.46% sparse=0.89, Epsilon=0.200, 78.3 games/s | replay=464
  Game 512: BOOTSTRAP | Win rate=46.68%, Avg score=12.88, States=135466, Coverage=11.47% sparse=0.89, Epsilon=0.200, 76.7 games/s | replay=512
  Game 560: BOOTSTRAP | Win rate=47.32%, Avg score=12.84, States=135479, Coverage=11.47% sparse=0.89, Epsilon=0.200, 75.4 games/s | replay=560
  Game 608: BOOTSTRAP | Win rate=47.70%, Avg score=12.74, States=135497, Coverage=11.48% sparse=0.89, Epsilon=0.200, 74.8 games/s | replay=608
  Game 656: BOOTSTRAP | Win rate=47.87%, Avg score=12.85, States=135514, Coverage=11.48% sparse=0.89, Epsilon=0.200, 73.0 games/s | replay=656
